"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Schodack 3","President","","DEM","Hillary Clinton","305"
"Rensselaer","Schodack 4","President","","DEM","Hillary Clinton","287"
"Rensselaer","Schodack 5","President","","DEM","Hillary Clinton","195"
"Rensselaer","Schodack 6","President","","DEM","Hillary Clinton","326"
"Rensselaer","Schodack 7","President","","DEM","Hillary Clinton","311"
"Rensselaer","Schodack 8","President","","DEM","Hillary Clinton","256"
"Rensselaer","Schodack 9","President","","DEM","Hillary Clinton","166"
"Rensselaer","Schodack 10","President","","DEM","Hillary Clinton","250"
"Rensselaer","Schodack 11","President","","DEM","Hillary Clinton","313"
"Rensselaer","Stephentown 1","President","","DEM","Hillary Clinton","218"
"Rensselaer","Stephentown 2","President","","DEM","Hillary Clinton","293"
"Rensselaer","Troy 1","President","","REP","Donald J. Trump","266"
"Rensselaer","Troy 2","President","","REP","Donald J. Trump","98"
"Rensselaer","Troy 3","President","","REP","Donald J. Trump","170"
"Rensselaer","Troy 4","President","","REP","Donald J. Trump","168"
"Rensselaer","Troy 5","President","","REP","Donald J. Trump","151"
"Rensselaer","Troy 6","President","","REP","Donald J. Trump","189"
"Rensselaer","Troy 7","President","","REP","Donald J. Trump","275"
"Rensselaer","Troy 8","President","","REP","Donald J. Trump","123"
"Rensselaer","Troy 9","President","","REP","Donald J. Trump","107"
"Rensselaer","Troy 10","President","","REP","Donald J. Trump","56"
"Rensselaer","Troy 11","President","","REP","Donald J. Trump","125"
"Rensselaer","Troy 12","President","","REP","Donald J. Trump","104"
"Rensselaer","Troy 13","President","","REP","Donald J. Trump","201"
"Rensselaer","Troy 14","President","","REP","Donald J. Trump","153"
"Rensselaer","Troy 15","President","","REP","Donald J. Trump","95"
"Rensselaer","Troy 16","President","","REP","Donald J. Trump","97"
"Rensselaer","Troy 17","President","","REP","Donald J. Trump","94"
"Rensselaer","Troy 18","President","","REP","Donald J. Trump","79"
"Rensselaer","Troy 19","President","","REP","Donald J. Trump","105"
"Rensselaer","Troy 20","President","","REP","Donald J. Trump","115"
"Rensselaer","Troy 21","President","","REP","Donald J. Trump","218"
"Rensselaer","Troy 22","President","","REP","Donald J. Trump","150"
"Rensselaer","Troy 23","President","","REP","Donald J. Trump","55"
"Rensselaer","Troy 24","President","","REP","Donald J. Trump","245"
"Rensselaer","Troy 25","President","","REP","Donald J. Trump","230"
"Rensselaer","Troy 26","President","","REP","Donald J. Trump","173"
"Rensselaer","Troy 27","President","","REP","Donald J. Trump","98"
"Rensselaer","Troy 28","President","","REP","Donald J. Trump","124"
"Rensselaer","Troy 29","President","","REP","Donald J. Trump","126"
"Rensselaer","Troy 30","President","","REP","Donald J. Trump","208"
"Rensselaer","Rensselaer 1","President","","REP","Donald J. Trump","169"
"Rensselaer","Rensselaer 2","President","","REP","Donald J. Trump","183"
"Rensselaer","Rensselaer 3","President","","REP","Donald J. Trump","138"
"Rensselaer","Rensselaer 4","President","","REP","Donald J. Trump","150"
"Rensselaer","Rensselaer 5","President","","REP","Donald J. Trump","204"
"Rensselaer","Rensselaer 6","President","","REP","Donald J. Trump","270"
"Rensselaer","Berlin 1","President","","REP","Donald J. Trump","256"
"Rensselaer","Berlin 2","President","","REP","Donald J. Trump","175"
"Rensselaer","Brunswick 1","President","","REP","Donald J. Trump","404"
"Rensselaer","Brunswick 2","President","","REP","Donald J. Trump","281"
"Rensselaer","Brunswick 3","President","","REP","Donald J. Trump","183"
"Rensselaer","Brunswick 4","President","","REP","Donald J. Trump","352"
"Rensselaer","Brunswick 5","President","","REP","Donald J. Trump","373"
"Rensselaer","Brunswick 6","President","","REP","Donald J. Trump","234"
"Rensselaer","Brunswick 7","President","","REP","Donald J. Trump","87"
"Rensselaer","Brunswick 8","President","","REP","Donald J. Trump","389"
"Rensselaer","Brunswick 9","President","","REP","Donald J. Trump","391"
"Rensselaer","Brunswick 10","President","","REP","Donald J. Trump","176"
"Rensselaer","East Greenbush 1","President","","REP","Donald J. Trump","436"
"Rensselaer","East Greenbush 2","President","","REP","Donald J. Trump","423"
"Rensselaer","East Greenbush 3","President","","REP","Donald J. Trump","234"
"Rensselaer","East Greenbush 4","President","","REP","Donald J. Trump","231"
"Rensselaer","East Greenbush 5","President","","REP","Donald J. Trump","115"
"Rensselaer","East Greenbush 6","President","","REP","Donald J. Trump","429"
"Rensselaer","East Greenbush 7","President","","REP","Donald J. Trump","253"
"Rensselaer","East Greenbush 8","President","","REP","Donald J. Trump","300"
"Rensselaer","East Greenbush 9","President","","REP","Donald J. Trump","209"
"Rensselaer","East Greenbush 10","President","","REP","Donald J. Trump","253"
"Rensselaer","East Greenbush 11","President","","REP","Donald J. Trump","312"
"Rensselaer","East Greenbush 12","President","","REP","Donald J. Trump","146"
"Rensselaer","Grafton 1","President","","REP","Donald J. Trump","288"
"Rensselaer","Grafton 2","President","","REP","Donald J. Trump","323"
"Rensselaer","Hoosick 1","President","","REP","Donald J. Trump","147"
"Rensselaer","Hoosick 2","President","","REP","Donald J. Trump","320"
"Rensselaer","Hoosick 3","President","","REP","Donald J. Trump","152"
"Rensselaer","Hoosick 4","President","","REP","Donald J. Trump","153"
"Rensselaer","Hoosick 5","President","","REP","Donald J. Trump","151"
"Rensselaer","Hoosick 6","President","","REP","Donald J. Trump","181"
"Rensselaer","Hoosick 7","President","","REP","Donald J. Trump","171"
"Rensselaer","Nassau 1","President","","REP","Donald J. Trump","226"
"Rensselaer","Nassau 2","President","","REP","Donald J. Trump","427"
"Rensselaer","Nassau 3","President","","REP","Donald J. Trump","249"
"Rensselaer","Nassau 4","President","","REP","Donald J. Trump","232"
"Rensselaer","North Greenbush 1","President","","REP","Donald J. Trump","200"
"Rensselaer","North Greenbush 2","President","","REP","Donald J. Trump","378"
"Rensselaer","North Greenbush 3","President","","REP","Donald J. Trump","324"
"Rensselaer","North Greenbush 4","President","","REP","Donald J. Trump","560"
"Rensselaer","North Greenbush 5","President","","REP","Donald J. Trump","405"
"Rensselaer","North Greenbush 6","President","","REP","Donald J. Trump","320"
"Rensselaer","North Greenbush 7","President","","REP","Donald J. Trump","305"
"Rensselaer","North Greenbush 8","President","","REP","Donald J. Trump","388"
"Rensselaer","Petersburgh 1","President","","REP","Donald J. Trump","364"
"Rensselaer","Pittstown 1","President","","REP","Donald J. Trump","186"
"Rensselaer","Pittstown 2","President","","REP","Donald J. Trump","233"
"Rensselaer","Pittstown 3","President","","REP","Donald J. Trump","367"
"Rensselaer","Pittstown 4","President","","REP","Donald J. Trump","326"
"Rensselaer","Pittstown 5","President","","REP","Donald J. Trump","271"
"Rensselaer","Pittstown 6","President","","REP","Donald J. Trump","174"
"Rensselaer","Poestenkill 1","President","","REP","Donald J. Trump","194"
"Rensselaer","Poestenkill 2","President","","REP","Donald J. Trump","401"
"Rensselaer","Poestenkill 3","President","","REP","Donald J. Trump","153"
"Rensselaer","Poestenkill 4","President","","REP","Donald J. Trump","368"
"Rensselaer","Sand Lake 1","President","","REP","Donald J. Trump","621"
"Rensselaer","Sand Lake 2","President","","REP","Donald J. Trump","363"
"Rensselaer","Sand Lake 3","President","","REP","Donald J. Trump","422"
"Rensselaer","Sand Lake 4","President","","REP","Donald J. Trump","150"
"Rensselaer","Sand Lake 5","President","","REP","Donald J. Trump","254"
"Rensselaer","Sand Lake 6","President","","REP","Donald J. Trump","157"
"Rensselaer","Schaghticoke 1","President","","REP","Donald J. Trump","391"
"Rensselaer","Schaghticoke 2","President","","REP","Donald J. Trump","126"
"Rensselaer","Schaghticoke 3","President","","REP","Donald J. Trump","310"
"Rensselaer","Schaghticoke 4","President","","REP","Donald J. Trump","195"
"Rensselaer","Schaghticoke 5","President","","REP","Donald J. Trump","208"
"Rensselaer","Schaghticoke 6","President","","REP","Donald J. Trump","360"
"Rensselaer","Schaghticoke 7","President","","REP","Donald J. Trump","377"
"Rensselaer","Schodack 1","President","","REP","Donald J. Trump","297"
"Rensselaer","Schodack 2","President","","REP","Donald J. Trump","177"
"Rensselaer","Schodack 3","President","","REP","Donald J. Trump","265"
