"county","precinct","office","district","party","candidate","votes"
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",79
"Fulton","Gloversville Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",80
"Fulton","Gloversville Ward 5 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",133
"Fulton","Gloversville Ward 5 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",110
"Fulton","Gloversville Ward 6 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",82
"Fulton","Gloversville Ward 6 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",92
"Fulton","Johnstown Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",84
"Fulton","Johnstown Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",94
"Fulton","Johnstown Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",77
"Fulton","Johnstown Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",75
"Fulton","Johnstown Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",81
"Fulton","Johnstown Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",100
"Fulton","Johnstown Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",139
"Fulton","Johnstown Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",63
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",1
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",7
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",11
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",10
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",8
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",24
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",17
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",4
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",11
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",3
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",11
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",6
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",5
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",9
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",15
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",12
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",0
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",9
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",51
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",8
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",12
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",4
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",13
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",0
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",5
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",7
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",10
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",4
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",9
"Fulton","Gloversville Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",3
"Fulton","Gloversville Ward 5 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",11
"Fulton","Gloversville Ward 5 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",6
"Fulton","Gloversville Ward 6 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",5
"Fulton","Gloversville Ward 6 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",10
"Fulton","Johnstown Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",3
"Fulton","Johnstown Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",8
"Fulton","Johnstown Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",8
"Fulton","Johnstown Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",9
"Fulton","Johnstown Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",5
"Fulton","Johnstown Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",4
"Fulton","Johnstown Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",8
"Fulton","Johnstown Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","WOR","Mike Derrick",4
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",183
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",360
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",456
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",305
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",350
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",432
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",433
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",426
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",542
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",532
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",405
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",366
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",452
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",476
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",507
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",465
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",38
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",279
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",456
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",473
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",508
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",185
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",151
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",209
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",143
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",148
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",291
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",235
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",141
"Fulton","Gloversville Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",181
"Fulton","Gloversville Ward 5 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",234
"Fulton","Gloversville Ward 5 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",251
"Fulton","Gloversville Ward 6 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",150
