"county","precinct","office","district","party","candidate","votes"
"Fulton","Mayfield 3","NY State Assembly","118th Assembly","IND","Marc Butler",16
"Fulton","Mayfield 4","NY State Assembly","118th Assembly","IND","Marc Butler",28
"Fulton","Northampton 1","NY State Assembly","118th Assembly","IND","Marc Butler",20
"Fulton","Northampton 2","NY State Assembly","118th Assembly","IND","Marc Butler",0
"Fulton","Northampton 3","NY State Assembly","118th Assembly","IND","Marc Butler",19
"Fulton","Oppenheim 1","NY State Assembly","118th Assembly","IND","Marc Butler",15
"Fulton","Perth 1","NY State Assembly","118th Assembly","IND","Marc Butler",29
"Fulton","Perth 2","NY State Assembly","118th Assembly","IND","Marc Butler",33
"Fulton","Stratford 1","NY State Assembly","118th Assembly","IND","Marc Butler",13
"Fulton","Gloversville Ward 1 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",15
"Fulton","Gloversville Ward 1 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",26
"Fulton","Gloversville Ward 2 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",13
"Fulton","Gloversville Ward 2 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",13
"Fulton","Gloversville Ward 3 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",18
"Fulton","Gloversville Ward 3 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",25
"Fulton","Gloversville Ward 4 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",20
"Fulton","Gloversville Ward 4 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",10
"Fulton","Gloversville Ward 5 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",22
"Fulton","Gloversville Ward 5 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",23
"Fulton","Gloversville Ward 6 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",21
"Fulton","Gloversville Ward 6 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",19
"Fulton","Johnstown Ward 1 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",9
"Fulton","Johnstown Ward 1 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",20
"Fulton","Johnstown Ward 2 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",11
"Fulton","Johnstown Ward 2 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",20
"Fulton","Johnstown Ward 3 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",21
"Fulton","Johnstown Ward 3 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",27
"Fulton","Johnstown Ward 4 Dist 1","NY State Assembly","118th Assembly","IND","Marc Butler",26
"Fulton","Johnstown Ward 4 Dist 2","NY State Assembly","118th Assembly","IND","Marc Butler",8
"Fulton","Bleecker","NY State Assembly","118th Assembly","REF","Marc Butler",2
"Fulton","Broadalbin 1","NY State Assembly","118th Assembly","REF","Marc Butler",1
"Fulton","Broadalbin 2","NY State Assembly","118th Assembly","REF","Marc Butler",8
"Fulton","Broadalbin 3","NY State Assembly","118th Assembly","REF","Marc Butler",1
"Fulton","Broadalbin 4","NY State Assembly","118th Assembly","REF","Marc Butler",1
"Fulton","Caroga","NY State Assembly","118th Assembly","REF","Marc Butler",4
"Fulton","Ephratah","NY State Assembly","118th Assembly","REF","Marc Butler",3
"Fulton","Johnstown 1","NY State Assembly","118th Assembly","REF","Marc Butler",6
"Fulton","Johnstown 2","NY State Assembly","118th Assembly","REF","Marc Butler",7
"Fulton","Johnstown 3","NY State Assembly","118th Assembly","REF","Marc Butler",4
"Fulton","Johnstown 4","NY State Assembly","118th Assembly","REF","Marc Butler",3
"Fulton","Mayfield 1","NY State Assembly","118th Assembly","REF","Marc Butler",3
"Fulton","Mayfield 2","NY State Assembly","118th Assembly","REF","Marc Butler",2
"Fulton","Mayfield 3","NY State Assembly","118th Assembly","REF","Marc Butler",6
"Fulton","Mayfield 4","NY State Assembly","118th Assembly","REF","Marc Butler",1
"Fulton","Northampton 1","NY State Assembly","118th Assembly","REF","Marc Butler",6
"Fulton","Northampton 2","NY State Assembly","118th Assembly","REF","Marc Butler",0
"Fulton","Northampton 3","NY State Assembly","118th Assembly","REF","Marc Butler",6
"Fulton","Oppenheim 1","NY State Assembly","118th Assembly","REF","Marc Butler",3
"Fulton","Perth 1","NY State Assembly","118th Assembly","REF","Marc Butler",2
"Fulton","Perth 2","NY State Assembly","118th Assembly","REF","Marc Butler",5
